iter	Passed	Remaining
858	90509	14856
859	90578	14745
860	90652	14635
861	90764	14530
862	90882	14427
863	91002	14324
864	91115	14220
865	91228	14116
866	91346	14012
867	91453	13907
868	91557	13802
869	91676	13698
870	91770	13591
871	91858	13483
872	91935	13374
873	91994	13262
874	92074	13153
875	92145	13043
876	92218	12933
877	92299	12825
878	92387	12717
879	92487	12611
880	92561	12502
881	92654	12395
882	92734	12287
883	92815	12179
884	92900	12071
885	93001	11966
886	93081	11858
887	93150	11748
888	93231	11640
889	93326	11534
890	93411	11427
891	93492	11319
892	93592	11214
893	93673	11106
894	93756	10999
895	93846	10892
896	93924	10785
897	93994	10676
898	94073	10568
899	94166	10462
900	94257	10356
901	94342	10250
902	94433	10144
903	94534	10039
904	94607	9931
905	94677	9823
906	94760	9716
907	94859	9611
908	94933	9503
909	95006	9396
910	95081	9289
911	95159	9182
912	95257	9077
913	95347	8971
914	95424	8864
915	95499	8757
916	95573	8650
917	95666	8545
918	95746	8439
919	95817	8331
920	95910	8226
921	96000	8121
922	96089	8016
923	96196	7912
924	96306	7808
925	96398	7703
926	96492	7598
927	96584	7493
928	96730	7392
929	96849	7289
930	96970	7186
931	97089	7083
932	97218	6981
933	97337	6878
934	97438	6773
935	97574	6671
936	97687	6568
937	97823	6465
938	97938	6362
939	98047	6258
940	98126	6152
941	98221	6047
942	98315	5942
943	98424	5838
944	98524	5734
945	98618	5629
946	98716	5524
947	98804	5419
948	98905	5315
949	98994	5210
950	99096	5105
951	99194	5001
952	99283	4896
953	99360	4790
954	99447	4686
955	99541	4581
956	99616	4475
957	99694	4370
958	99779	4265
959	99873	4161
960	99952	4056
961	100013	3950
962	100091	3845
963	100180	3741
964	100281	3637
965	100357	3532
966	100430	3427
967	100497	3322
968	100587	3217
969	100680	3113
970	100755	3009
971	100835	2904
972	100907	2800
973	100991	2695
974	101097	2592
975	101179	2488
976	101257	2383
977	101333	2279
978	101394	2174
979	101476	2070
980	101565	1967
981	101651	1863
982	101728	1759
983	101803	1655
984	101880	1551
985	101952	1447
986	102036	1343
987	102123	1240
988	102217	1136
989	102313	1033
990	102405	930
991	102487	826
992	102519	722
993	102614	619
994	102708	516
995	102784	412
996	102891	309
997	103001	206
998	103113	103
999	103228	0
