iter	Logloss
0	0.6925306773
1	0.691799222
2	0.6911459479
3	0.6905618277
4	0.6898784289
5	0.6891797591
6	0.6885219037
7	0.6878716526
8	0.6872353139
9	0.6866329573
10	0.6859911624
11	0.6853551756
12	0.6847079848
13	0.6840176633
14	0.6833554663
15	0.6827632298
16	0.6822221076
17	0.6816132387
18	0.6809721876
19	0.6803204032
20	0.6797367362
21	0.6790681179
22	0.678406618
23	0.6777585452
24	0.6770642962
25	0.6764282521
26	0.675732697
27	0.6751060995
28	0.6744298642
29	0.6737279609
30	0.6730933389
31	0.6725001155
32	0.6718892022
33	0.6712559968
34	0.6706428281
35	0.670021702
36	0.6693757114
37	0.6688405754
38	0.668198654
39	0.6675647066
40	0.6669185778
41	0.6664112963
42	0.665792128
43	0.6651613135
44	0.6645620621
45	0.664047616
46	0.663438162
47	0.6628174861
48	0.6622010947
49	0.6616330306
50	0.6610710858
51	0.6604614692
52	0.659895988
53	0.6592358357
54	0.6587370653
55	0.6581173107
56	0.6575035587
57	0.6568155569
58	0.6563089552
59	0.6556415749
60	0.6550476956
61	0.6544132918
62	0.6538933228
63	0.6533863123
64	0.6527891048
65	0.6521914489
66	0.6516798627
67	0.6510558505
68	0.6504731136
69	0.6498774336
70	0.649253655
71	0.6486355147
72	0.6480959256
73	0.6475540297
74	0.6471020654
75	0.6464913718
76	0.6459025549
77	0.6452611722
78	0.6446750058
79	0.6440723399
80	0.6435951921
81	0.642978029
82	0.6423386645
83	0.6417515742
84	0.6411553011
85	0.6405883223
86	0.6399878004
87	0.6394167002
88	0.6388837012
89	0.6383289568
90	0.6378252262
91	0.637247855
92	0.6367058555
93	0.6361063482
94	0.635518374
95	0.6350001905
96	0.6345472422
97	0.6339876532
98	0.6334127599
99	0.6329347229
100	0.6323562126
101	0.6318766922
102	0.631303894
103	0.6306776028
104	0.6301515879
105	0.6295548391
106	0.6289460791
107	0.6283976283
108	0.6278512057
109	0.6272904413
110	0.6267564464
111	0.6262044919
112	0.6257864037
113	0.625268927
114	0.6247265841
115	0.6243553306
116	0.6238500653
117	0.6232992904
118	0.6227832853
119	0.6222349851
120	0.6216915766
121	0.621134434
122	0.6205921763
123	0.6201379118
124	0.6196214736
125	0.6191026468
126	0.6185325957
127	0.6180062156
